name;measure;value_2020;value_2021;value_2022;value_2023;rank_2020;rank_2021;rank_2022;rank_2023;matrix_class_2020;matrix_class_2021;matrix_class_2022;matrix_class_2023
J. Sainsbury;revenues_m;36831.0;37944.0;40832.0;37910.0;342.0;314.0;342.0;387.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]90% ; 100%]"
JBS;assets_m;31412.0;31539.0;37181.0;39370.0;428.0;435.0;417.0;406.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
JBS;employees;242000.0;250000.0;250000.0;260000.0;79.0;69.0;71.0;67.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
JBS;profits_m;1539.0;892.0;3799.0;2995.0;286.0;311.0;218.0;229.0;"]90% ; 100%]";"]90% ; 100%]";"]80% ; 90%]";"]90% ; 100%]"
JBS;revenues_m;51859.0;52429.0;65036.0;72626.0;213.0;202.0;194.0;177.0;"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]";"]60% ; 70%]"
JD.com;assets_m;37286.0;64718.0;78164.0;86303.0;404.0;320.0;298.0;263.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
JD.com;employees;227730.0;314906.0;385357.0;450679.0;83.0;45.0;26.0;20.0;"]40% ; 50%]";"]30% ; 40%]";"]20% ; 30%]";"]20% ; 30%]"
JD.com;profits_m;1764.0;7160.0;-552.0;1543.0;270.0;67.0;476.0;299.0;"]90% ; 100%]";"]50% ; 60%]";<=0;"]90% ; 100%]"
JD.com;revenues_m;83505.0;108087.0;147526.0;155533.0;102.0;59.0;46.0;52.0;"]40% ; 50%]";"]30% ; 40%]";"]20% ; 30%]";"]30% ; 40%]"
JFE Holdings;assets_m;42992.0;42088.0;43554.0;41616.0;378.0;401.0;392.0;394.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
JFE Holdings;employees;64009.0;64371.0;64296.0;64241.0;328.0;325.0;321.0;325.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
JFE Holdings;profits_m;-1819.0;-206.0;2564.0;1201.0;472.0;428.0;266.0;334.0;<=0;<=0;"]90% ; 100%]";"]90% ; 100%]"
JFE Holdings;revenues_m;34305.0;30444.0;38858.0;38925.0;363.0;403.0;358.0;379.0;"]80% ; 90%]";"]90% ; 100%]";"]80% ; 90%]";"]90% ; 100%]"
JPMorgan Chase;assets_m;2687379.0;3386071.0;3743567.0;3665743.0;8.0;6.0;6.0;6.0;"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]"
JPMorgan Chase;employees;256981.0;255351.0;271025.0;293723.0;72.0;67.0;62.0;57.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
JPMorgan Chase;profits_m;36431.0;29131.0;48334.0;37676.0;7.0;11.0;7.0;12.0;"]10% ; 20%]";"]20% ; 30%]";"]10% ; 20%]";"]20% ; 30%]"
JPMorgan Chase;revenues_m;142422.0;129503.0;127202.0;154792.0;38.0;43.0;63.0;53.0;"]20% ; 30%]";"]20% ; 30%]";"]30% ; 40%]";"]30% ; 40%]"
Jabil;assets_m;0.0;14397.0;16654.0;19717.0;0.0;484.0;480.0;473.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jabil;employees;0.0;240000.0;238000.0;250000.0;0.0;78.0;79.0;70.0;na_class;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]"
Jabil;profits_m;0.0;54.0;696.0;996.0;0.0;410.0;393.0;352.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jabil;revenues_m;0.0;27266.0;29285.0;33478.0;0.0;445.0;490.0;453.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Japan Post Holdings;assets_m;2647344.0;2692027.0;2502652.0;2230764.0;9.0;11.0;12.0;14.0;"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]";"]30% ; 40%]"
Japan Post Holdings;employees;245472.0;243612.0;232112.0;227369.0;75.0;74.0;80.0;85.0;"]40% ; 50%]";"]40% ; 50%]";"]40% ; 50%]";"]50% ; 60%]"
Japan Post Holdings;profits_m;4449.0;3945.0;4466.0;3185.0;129.0;130.0;197.0;225.0;"]70% ; 80%]";"]70% ; 80%]";"]80% ; 90%]";"]90% ; 100%]"
Japan Post Holdings;revenues_m;109915.0;110561.0;100278.0;82291.0;60.0;58.0;94.0;148.0;"]30% ; 40%]";"]30% ; 40%]";"]40% ; 50%]";"]50% ; 60%]"
Jardine Matheson;assets_m;97028.0;93526.0;91489.0;89148.0;241.0;252.0;263.0;257.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jardine Matheson;employees;464000.0;403000.0;400000.0;425000.0;16.0;24.0;24.0;24.0;"]10% ; 20%]";"]20% ; 30%]";"]20% ; 30%]";"]20% ; 30%]"
Jardine Matheson;profits_m;2838.0;-394.0;1881.0;354.0;213.0;438.0;310.0;413.0;"]80% ; 90%]";<=0;"]90% ; 100%]";"]90% ; 100%]"
Jardine Matheson;revenues_m;40922.0;32647.0;35862.0;37724.0;299.0;372.0;397.0;392.0;"]80% ; 90%]";"]80% ; 90%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangsu Shagang Group;assets_m;41506.0;46318.0;51137.0;49903.0;387.0;382.0;362.0;364.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangsu Shagang Group;employees;46581.0;45060.0;45398.0;45203.0;372.0;380.0;368.0;366.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangsu Shagang Group;profits_m;718.0;1145.0;2274.0;558.0;356.0;295.0;285.0;390.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangsu Shagang Group;revenues_m;36488.0;38665.0;47072.0;42784.0;349.0;308.0;291.0;346.0;"]80% ; 90%]";"]80% ; 90%]";"]70% ; 80%]";"]80% ; 90%]"
Jiangxi Copper;assets_m;22646.0;25945.0;31144.0;30396.0;456.0;451.0;435.0;433.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangxi Copper;employees;25333.0;24528.0;31654.0;33248.0;432.0;440.0;417.0;406.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangxi Copper;profits_m;170.0;195.0;465.0;464.0;418.0;391.0;419.0;398.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jiangxi Copper;revenues_m;36980.0;48820.0;70914.0;74927.0;341.0;225.0;176.0;171.0;"]80% ; 90%]";"]70% ; 80%]";"]60% ; 70%]";"]60% ; 70%]"
Jinchuan Group;assets_m;16570.0;17602.0;19009.0;20862.0;472.0;473.0;473.0;468.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jinchuan Group;employees;29291.0;29220.0;29100.0;28930.0;419.0;430.0;423.0;422.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jinchuan Group;profits_m;298.0;360.0;965.0;1113.0;402.0;369.0;367.0;340.0;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jinchuan Group;revenues_m;33824.0;35907.0;40958.0;49467.0;367.0;336.0;339.0;287.0;"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Jingye Group;assets_m;0.0;10709.0;12191.0;12587.0;0.0;492.0;490.0;489.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jingye Group;employees;0.0;31000.0;31000.0;31000.0;0.0;424.0;419.0;418.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jingye Group;profits_m;0.0;607.0;891.0;329.0;0.0;341.0;376.0;414.0;na_class;"]90% ; 100%]";"]90% ; 100%]";"]90% ; 100%]"
Jingye Group;revenues_m;0.0;32528.0;36882.0;45705.0;0.0;374.0;386.0;318.0;na_class;"]80% ; 90%]";"]90% ; 100%]";"]80% ; 90%]"
Jinneng Holding Group;assets_m;53030.0;157498.0;167062.0;160235.0;332.0;173.0;172.0;169.0;"]90% ; 100%]";"]80% ; 90%]";"]80% ; 90%]";"]80% ; 90%]"
Jinneng Holding Group;employees;152733.0;472860.0;506364.0;470839.0;139.0;15.0;13.0;16.0;"]60% ; 70%]";"]10% ; 20%]";"]10% ; 20%]";"]10% ; 20%]"
Jinneng Holding Group;profits_m;-159.0;8.0;-341.0;359.0;448.0;415.0;473.0;410.0;<=0;"]90% ; 100%]";<=0;"]90% ; 100%]"
Jinneng Holding Group;revenues_m;27557.0;67535.0;74588.0;77761.0;461.0;138.0;163.0;163.0;"]90% ; 100%]";"]50% ; 60%]";"]60% ; 70%]";"]60% ; 70%]"
